text,doc_type,label,amount
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Patrick Kamanzi
TIN: 339670711
Month: 2021
Total Employees: 144
Gross Salaries: 6798226 RWF
PAYE Withheld: 2039468 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,6798226.0
"VALUE ADDED TAX RETURN
Rwanda Revenue Authority
Taxpayer: Claudine Hakizimana
TIN: 746412689
Tax Period: 2020
Output VAT: 6251003 RWF
Input VAT: 1589238 RWF
Net VAT Payable: 4661765 RWF
Filing Date: 2026-05-08
Signature of authorized person",vat_return,filing,5297460.0
"TAX CLEARANCE CERTIFICATE
Rwanda Revenue Authority
This is to certify that Kigali Trading Co (TIN: 914763202) has no outstanding tax obligations as of 2021-12. All taxes including VAT, PAYE, and CIT have been paid in full. Certificate valid for 3 months from date of issue.",tax_clearance,certificate,1677760.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Alice Niyomugabo
TIN: 384027113
Month: 2020-12
Total Employees: 101
Gross Salaries: 716664 RWF
PAYE Withheld: 214999 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,716664.0
"APPLICATION FOR TAX REFUND
Rwanda Revenue Authority
Taxpayer: Kimironko Supermarket
TIN: 719927151
Period: 2021
Overpaid Amount: 5462661 RWF
Reason: Excess VAT input credits
Bank Account: 498591
Bank: Bank of Kigali",refund_request,declaration,5462661.0
"TAX CLEARANCE CERTIFICATE
Rwanda Revenue Authority
This is to certify that Kimironko Supermarket (TIN: 274648506) has no outstanding tax obligations as of 2022. All taxes including VAT, PAYE, and CIT have been paid in full. Certificate valid for 3 months from date of issue.",tax_clearance,certificate,1602897.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Emmanuel Bizimana
TIN: 787194506
Period: 2024-04
Nature of Payment: Services
Gross Amount: 9302834 RWF
WHT Rate: 15%
Tax Withheld: 1395425 RWF",withholding_tax,declaration,9302834.0
"TAX CLEARANCE CERTIFICATE
Rwanda Revenue Authority
This is to certify that Diane Mukamana (TIN: 328306011) has no outstanding tax obligations as of 2023-07. All taxes including VAT, PAYE, and CIT have been paid in full. Certificate valid for 3 months from date of issue.",tax_clearance,certificate,5198023.0
"NOTICE OF PENALTY
Rwanda Revenue Authority
To: Nyabugogo Transport
TIN: 726563708
Period: 2023
This notice informs you of a penalty of 3008311 RWF for late filing of tax returns. Payment must be made within 30 days to avoid further interest charges under the Tax Procedures Law.",penalty_notice,correspondence,30083107.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Nyabugogo Transport
TIN: 740389325
Financial Year: 2020-07
Taxable Income: 27811380 RWF
CIT at 30%: 8343414 RWF
Advance Tax Paid: 2781138 RWF
Balance Due: 5562276 RWF",cit_filing,filing,27811380.0
